,Channel_id,Channel_name,desc,pub_date,num_viewers,num_subscribers,num_videos
20,UClDE0q7pOrMaBbXv_LqTS6Q,Neural networks create,"Subscribe will be interesting! 

",2022-12-19T20:54:54.150321Z,34178,145,120
21,UC4vAON9PsmKoyDGqftXWS-A,Neural Networks TV,"Welcome to our channel dedicated to neural networks! Our videos cover a wide range of topics related to machine learning and deep learning, including neural network architectures, training techniques, and applications. Our goal is to provide clear and concise explanations of complex concepts, making it easy for both beginners and advanced learners to understand and apply them. Whether you're interested in computer vision, natural language processing, or reinforcement learning, our channel has something for you. Join us on this journey of exploring the fascinating world of neural networks and discover the latest trends and techniques in this exciting field. Don't forget to subscribe to stay up-to-date with our latest videos!
",2023-05-14T12:17:05.944925Z,825,28,3
22,UC7SDZHvmZSkeBd_YV0WLBmw,Strange Neural Networks,,2023-01-08T08:15:25.388098Z,2781,13,179
23,UCoBYr2UqzIwg7BI5XS3NUAg,NeuralNetWork,,2023-03-28T11:06:02.064762Z,2,0,1
24,UC7SE-zOBDD_vJudA8WeSYTA,Neural Networks and Deep Learning,"Exploring the possibilities of neural networks and deep learning. 

~DeepFakes
~Film upscaling
~Video frame interpolation
~Black and white film to color",2016-10-09T23:33:44Z,13588935,52400,110
25,UC4UJ26WkceqONNF5S26OiVw,deeplizard,Building collective intelligence,2017-08-22T22:21:14Z,12285575,145000,461
26,UCwBhBDsqiQflTMLy2epbQVw,Emergent Garden,"Life simulations, neural networks, cellular automata, and other emergent programs.",2020-08-03T19:15:03.446608Z,4221036,102000,31
27,UCoqknGRfCtVXN_yEEVL43Zg,CSC413 Neural Networks,,2020-03-16T15:54:49.615736Z,0,413,0
28,UCtslD4DGH6PKyG_1gFAX7sg,Alexander Amini,,2009-10-23T18:42:38Z,10980543,238000,73
29,UCxPE35GS8ASYimDk-68aPpw,The art of neural networks,"""Welcome to our Art of Neural Networks channel, dedicated to the amazing world of neural networks and art created by artificial intelligence! We showcase mind-blowing images and videos created by advanced artificial intelligence systems. Join us to watch stunning content created by artificial intelligence and deeply analyze the latest advances in neural networks. Don't miss the future of art - subscribe to our channel today, like, comment, and share!""",2023-04-03T15:22:41.816179Z,707,4,8
30,UCJFAF6IsaMkzHBDdfriY-yQ,Coding Lane,"I am Jay Patel and I am very passionate about Machine Learning and helping you understand the programs behind it in a fun and engaging way.

I can help you learn the algorithms behind successful machine learning models and also building applications and projects. If you like to learn Machine Learning without boring lectures and build awesome applications, then this may be the channel for you. 

Machine Learning has its applications everywhere. Image Recognition, Language Translation, Chatbots, speech to text, stock prediction, and many more. It is predicted that 80% of emerging technologies will have an AI foundation.

And we are just starting out in the uses of AI. Now is one of the best times to learn Machine Learning.",2020-06-12T13:15:36.287026Z,1734971,20800,54
31,UCtYLUTtgS3k1Fg4y5tAhLbw,StatQuest with Josh Starmer,"Statistics, Machine Learning and Data Science can sometimes seem like very scary topics, but since each technique is really just a combination of small and simple steps, they are actually quite simple. My goal with StatQuest is to break down the major methodologies into easy to understand pieces. That said, I don't dumb down the material. Instead, I build up your understanding so that you are smarter.

Contact, Video Index, Etc: https://statquest.org",2011-05-24T01:52:48Z,61717780,1130000,269
32,UCoXbH0uCgW19HuBxNYNuKdw,NeuralNetwork,,2022-12-19T16:51:08.076183Z,6,1,1
33,UCYO_jab_esuFRV4b17AJtAw,3Blue1Brown,"My name is Grant Sanderson. Videos here cover a variety of topics in math, or adjacent fields like physics and CS, all with an emphasis on visualizing the core ideas. To goal is to use animation to help elucidate and motivate otherwise tricky topics, and for difficult problems to be made simple with changes in perspective.

For more information, other projects, FAQs, and inquiries see the website: https://www.3blue1brown.com",2015-03-03T23:11:55Z,479018859,5990000,172
34,UC4jGbFroVq66lJNWJvz8qnA,NeuralNetworks,"Share the same world in listening and speaking,
With sounds instead of letters.
With meaning rather than translation.

Graduate from text-based translation learning and pursue intrinsic method of sound base!",2015-05-15T18:29:26Z,0,49,0
35,UCCGd4vOBV2fouK0sdUIVn7w,neural networks,,2023-03-12T10:13:36.566119Z,173,17,7
36,UCARiH6RPDcAr-bQpMQb7jaw,Neural Networks and Machine Learning,All about AI,2016-11-21T08:54:53Z,26,4,1
37,UC0exGdOZ6hxFLmpj9X2XDRA,Dyllies Dummy Thicc Neural Networks,I have some fun XD uwu,2020-06-16T02:00:59.991145Z,437,6,7
38,UCp6QoHyDne8FErMg7a99-Ug,Neuromarathon - neural networks,On this channel you will see videos and images made by various neural networks. Sometimes it boggles the mind. Watch and be surprised...,2023-11-04T04:45:55.595655Z,467,3,43
39,UCfUSUb-WiSWIQg8Lz3d890w,Neural networks,,2024-02-29T05:47:16.204727Z,41,7,1
40,UC8hYZGEkI2dDO8scT8C5UQA,Carnegie Mellon University Deep Learning,"“Deep Learning” systems, typified by deep neural networks, are increasingly taking over all AI tasks, ranging from language understanding, and speech and image recognition, to machine translation, planning, and even game playing and autonomous driving. As a result, expertise in deep learning is fast changing from an esoteric desirable to a mandatory prerequisite in many advanced academic settings, and a large advantage in the industrial job market.

In this course we will learn about the basics of deep neural networks, and their applications to various AI tasks. By the end of the course, it is expected that students will have significant familiarity with the subject, and be able to apply Deep Learning to a variety of tasks. They will also be positioned to understand much of the current literature on the topic and extend their knowledge through further study.

Instructor: Bhiksha Raj",2018-01-06T00:37:43Z,1424013,21600,710
41,UC7p_I0qxYZP94vhesuLAWNA,Kilian Weinberger,,2018-02-02T01:50:26Z,1348296,20800,41
42,UClWCUaHA7CxQT6T4ynz9sAQ,Neural networks of the future,"Neural networks of the future 
Artificial intelligence : https://goo.su/LJV2dZh
Speak AI : https://goo.su/6Gz3Rq
ChatGPT Alternative : https://goo.su/SxE9Rz2
Forward-looking enterprises have to be aware of emerging artificial intelligence technologies. Get the latest on AI technologies such as NLP, bots, machine learning, deep learning and open source AI tools.
",2023-04-19T19:28:39.996741Z,149,2,7
43,UCkYTDwT2BlG4TP2HhrGLBNA,Neural Networks,,2015-07-23T11:59:37Z,17,1,2
44,UCqA0w7Cip8mIWwEcde_6QIg,A neural network programming channel,Feverishly programming neural networks.,2014-08-23T15:50:51Z,72704,315,61
45,UCQfspyH4W6qX8y42yUpuYyg,aispectator,"Recently it seemed to us that neural networks were the future. But neural networks are real. Now they are firmly rooted in our everyday life, on the Internet. Thousands of companies around the world are already using them to conduct business. Millions of people use them for entertainment or education.

The ""aispectator"" channel shows what neural networks are capable of now. We do not violate the rules for using neural networks shown in the video on this channel. Installation, ideas, loading and all other processes were done manually by the author of the channel.
",2024-03-17T12:33:04.581348Z,0,0,1
46,UCjAUneNabsy4zKUqAbEv9kw,NeuralNetwork,,2024-02-26T21:52:54.694641Z,19,0,9
47,UC7S1bUTWDIKA8nhx0REly0Q,Neural networks,,2021-08-17T15:33:50.184519Z,582,23,26
48,UCrAYljbpOucGjFqDO_avS0Q,Neural Networks: The Revolution of Technology,"Description: Welcome to our channel where we explore the exciting world of neural networks and their impact on education and relationships. Join us as we delve into the fascinating world of artificial intelligence and its integration into our daily lives. From the implementation of neural networks to the technological revolution they bring, we will explore it all. Don't miss out on the latest developments in this rapidly evolving field. Subscribe now and be a part of the revolution.",2023-02-26T18:08:52.641793Z,73,2,5
49,UCLdSNEXR29HHRnBdA897t1A,Garlley neural networks,Various videos created by a neural network ,2021-07-26T11:29:16.407494Z,2200,32,27
